Common_name,Ecoinvent_name,Ecoinvent_code,type_of_flow
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",f5423a5fe57c4ef982e74491487fcc87,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",3f6b83e38b14cfb28a03f7767eae89c6,technosphere
"market for hazardous waste, for incineration","market for hazardous waste, for incineration",0848065a09110dda8412e2b48219825f,technosphere
market for lignite,lignite mine operation,4b9de078241adeb1456c5d584d11e6ae,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",97b8dc889111ac8b1a1f08aecbe441c6,technosphere
"market for wastewater, from residence","market for wastewater, from residence",b49f2e6c159a1b2d0a24e6bc1c04709a,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",d94ed0b1e34f4517b8d7b4244aa6c1e8,technosphere
"market for cement, Portland","market for cement, Portland",247e619c183946ce9a3de8d43a710b60,technosphere
"treatment of residue from cooling tower, sanitary landfill","treatment of residue from cooling tower, sanitary landfill",d19254d290f2284537b1dfcb60b52826,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",90473794e1ea45bd82221ddd83e9f44e,technosphere
"market for concrete, normal","market for concrete, normal",b01cd0459175552717cb15c645ba7ba5,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",35f1fdd5c78aa5bd923daaefcb1aea4b,technosphere
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",94cda7da940ae9d55cd25cf35dd07d9c,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",b001f2962f394a3ca911fa0043ea041c,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,aeeb95e292433cbae2f4fbebc5a8fc9b,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",56f70ca4089b4f9a81a9dae02406d867,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",c8d6312d63d646ff95da9f8f0efdd52f,technosphere
"market for cement, Portland","market for cement, Portland",9816c0479b254d86a26dc9fcd2a99930,technosphere
"market for heat and power co-generation unit, 160kW electrical, components for heat only","market for heat and power co-generation unit, 160kW electrical, components for heat only",6a08633388480133e30b71f3f0a6e424,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",e812a1526ca4e1d32a1aa62cacb634c5,technosphere
desulfurisation of lignite flue gas,desulfurisation of lignite flue gas,22052c55001700a6ea6fa268802784ff,technosphere
"market for gas power plant, combined cycle, 400MW electrical","market for gas power plant, combined cycle, 400MW electrical",4707f9f21eb444f783990ef5dfd0e3d8,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",a48eb5cfbb4b63ec27a1626cbe5bd228,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",3c61e571289958688e48d2f38fd78f57,technosphere
"market for water, decarbonised","market for water, decarbonised",f321ad402ef9eb5fe9334d1a42a49717,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",250ab3c87a1dc0d08d79349d365c17f1,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",1c3500c5caa34b6ca8d0a7f7e8eea659,technosphere
"market for chemical, inorganic","market for chemical, inorganic",f0d44bf0e3c929ab4c21adef45d5ca2a,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",fc546ef93dfa404cb94d308539968267,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",bc4fe6ffbfd64246ad2c342326cbfd8d,technosphere
"treatment of spent solvent mixture, hazardous waste incineration","treatment of spent solvent mixture, hazardous waste incineration",a7cdb44b23a890c8d0bfa8f74712b08c,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",0d1b8dfac33e486f931fd7bd6fc4d320,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",ea853c6234734fd9a5367a414e60ab50,technosphere
"market for hazardous waste, for incineration","market for hazardous waste, for incineration",3456e7fc0ce6690edd534aad56586a56,technosphere
market for municipal solid waste,market for municipal solid waste,59f47e6beee9b9406d0e5d3a778ea360,technosphere
market for municipal solid waste,market for municipal solid waste,bd3ad9858ba876d164cd7555a50b56df,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",8716743da4ad4a0eaab1d78a014be06d,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",aad4698db43a40edac90e743bcef3d05,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",6a280660ad6b45778d0ad212904697c6,technosphere
"market for water, decarbonised","market for water, decarbonised",ceaaf86b29509609e8453253786b7188,technosphere
market for waste mineral oil,market for waste mineral oil,ef3c1e70d617452d89dfbecc859eb56b,technosphere
market for hard coal ash,market for hard coal ash,17146dd21624ee7abd556d6b1d48e1bc,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",f87f80daf1707ee4028bc75664bd2c6c,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",d3da7105cdc44d2987c7725303971ff1,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",23e57ff0966f4cb9979da594396cc4d0,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",00a64dd725912201ef947da3ab8217f1,technosphere
"market for carbon dioxide, liquid","market for carbon dioxide, liquid",6c30b87bdaf5e27e0398c2c8e5280a27,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",89c9fe769bb6dc9b42408168eb731788,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",c68c0cbd44c842d48247c2c025397dd8,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",09f2ef7c5cc8424cf998927abbded0a9,technosphere
"market for cement, Portland","market for cement, Portland",79f8b977a9644811999e7b7a36c13de4,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",1742ab0f28994b89f3c246e227f86402,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",c80c8f84331a292de1f018f7a72534c3,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",9f2fa3204a044797b971827935f0d4d4,technosphere
market for tap water,market for tap water,241bc609715a034ef53eccd39b242490,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",9ee1e77b47084ba1ac87ebdc6a382df4,technosphere
"market for oil power plant, 500MW","market for oil power plant, 500MW",6b9c4878c434143544741c5d26da6404,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",4f83cd2a291145a28967b9ddce3d842e,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",12c1856cf0104ccdad94cbaaf5ff05c9,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",36c455276baac66daa6df48d214e3adb,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",d0a1f54d0ff446438f425290b723be00,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",0e93c79546434639b9cb25e7e306695b,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",e049461791a34c75b85770e35d0a6bf3,technosphere
market for cationic resin,market for cationic resin,56d33c48487bbb4a19ff36e50a989e02,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,ef8a8be72b6e6bd62b83118bab7c56e4,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",2fccac035d0f2b2967856a0f9a7e84ee,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",0189e88bc3ed18abaf6f8d9ddf03f5ca,technosphere
"market for transport, freight train","market for transport, freight train",0abef8ba76ebd2f6f72d7c3499424e2e,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",326ea6de47b30ef860e60440114cbc91,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,686202f0124dfe69a092aee7267b3377,technosphere
"heat production, heavy fuel oil, at industrial furnace 1MW","heat production, heavy fuel oil, at industrial furnace 1MW",6338d648ed10f78481409ed5c3aa2d9a,technosphere
market for municipal solid waste,market for municipal solid waste,386b319361b3a9baf857cf170f7ee1b6,technosphere
market for hard coal,market for hard coal,34ad9872512c409ca96ff7106816ef71,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",3280d91878284e57a6ac9e9c8107b8ba,technosphere
"treatment of hazardous waste, hazardous waste incineration","treatment of hazardous waste, hazardous waste incineration",39bfae6f1603f3b9db89af14c8bf925f,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",0db3e6054e7a47e69fb401339170715e,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",05bde3fcdb064005965687960c851537,technosphere
"market for cement, Portland","market for cement, Portland",8fa57b3166374c4eb589aeeaf95605e2,technosphere
"treatment of waste emulsion paint, municipal incineration","treatment of waste emulsion paint, municipal incineration",045e395a5bc41cf8a6cd8640d2d26e6d,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",4feb0383bf7b8f6407eb9fec08d81e48,technosphere
market for municipal solid waste,market for municipal solid waste,6eea14904d0bd05ff53d409655880d3f,technosphere
market for pitch,market for pitch,9cf786bca218a6bcd9e5c959636259e3,technosphere
"market for water, deionised","market for water, deionised",2034a332fc2d0e3622c7df406ab23266,technosphere
"market for chemical, organic","market for chemical, organic",9757270c6c2078fdd4c0fa43c7c49ee9,technosphere
Electricity production_Solar_PV_ReEDS,Electricity production_Solar_PV_ReEDS,e7eab766-6f5f-4168-9b64-6a54d2f45229,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",f7a22dc5ab8e4c269ad35bd4a879b314,technosphere
"market for cement, Portland","market for cement, Portland",031b7af557fe420a92771072460af6f0,technosphere
"treatment of hazardous waste, hazardous waste incineration","treatment of hazardous waste, hazardous waste incineration",a57d72107fb2fa2d139d14ea9324bc46,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",71064e9cb9ca4b349e32640d7f1e7443,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",f5bc175392a050d35de62183e6abfceb,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",d9fdae04ad4f2512337bbc39dd285c66,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",91cb338b0be94c14aa6d30ab0a2fa7cf,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",a9eb753904084574abdb33b0da977505,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",6522cae4bb5a43deb205129b930ec228,technosphere
"market for cement, Portland","market for cement, Portland",6b588c313daaa58b280e70d223205015,technosphere
market for light fuel oil,market for light fuel oil,8a17e03a044c4a098567ab915f08abaa,technosphere
"treatment of waste textile, soiled, municipal incineration","treatment of waste textile, soiled, municipal incineration",d00473b5973c91b6321f363723b3bc04,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",7ccae0dd284d44d8acebf863a12741eb,technosphere
Electricity production_Rooftop_Solar_PV_ReEDS,Electricity production_Rooftop_Solar_PV_ReEDS,7c114518-14dc-48ee-904e-76bc2fd0654e,technosphere
market for pitch,market for pitch,c5d93b48d49ea7d168a1d2fb2afa085f,technosphere
"treatment of inert waste, sanitary landfill","treatment of inert waste, sanitary landfill",480fa2d9d0d3bbdd9a5eb3a744b05d3e,technosphere
"heat production, natural gas, at industrial furnace >100kW","heat production, natural gas, at industrial furnace >100kW",1bd108462bdd9a4d6a11aff50cc8d6f5,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",ca41d50613004b45b2a845b4882afa43,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",c60546f3db8d42b2b94f032507492482,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",d357607e64524e7797db342897481cf5,technosphere
"polyethylene production, low density, granulate","polyethylene production, low density, granulate",6f72318068764f018bb9eda83a352439,technosphere
"treatment of waste textile, soiled, municipal incineration","treatment of waste textile, soiled, municipal incineration",c1eb41a0cd7981761d7e795aaa8f3dc1,technosphere
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",d77d82130f5d4e9a953657385b7b4272,technosphere
market for municipal solid waste,market for municipal solid waste,a34cc59c417c1c98957c2a49d12489a8,technosphere
"market for cement, Portland","market for cement, Portland",833a19e0bcf74e42a5ccd79328713ddb,technosphere
"market for paper, woodfree, coated","market for paper, woodfree, coated",37b7e0d673e70f828ef43c6a37e25a2c,technosphere
"treatment of waste plastic, mixture, municipal incineration","treatment of waste plastic, mixture, municipal incineration",f053df5b0ed6122fea49560f76db60d7,technosphere
"market for SOx retained, in hard coal flue gas desulfurisation","market for SOx retained, in hard coal flue gas desulfurisation",d91d544ef0fee1d044e77dd3b4dfb367,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",3e69a19ca09949b4aa5ee008489fde4e,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",b36b033c182d3ab264ca9514a58f12ba,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",275a59467e4d844c00d22ee204400b08,technosphere
"market for transport, freight train","market for transport, freight train",356bc73765b0b7c3e7c4e2e968073aae,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",d8d6152721854b0d942dd36b15c75e88,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",7c3db962f9434027922011929efe9a74,technosphere
market for lubricating oil,market for lubricating oil,15c993b65a45868e9f93a05998f2aca0,technosphere
market for hard coal,market for hard coal,d5e36f38acf6a3f64ad36d501963e829,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",b0eeb905cb804c39b01ae5348bfc4413,technosphere
market for municipal solid waste,market for municipal solid waste,b8c977a8db23a0995c28f5fc1a3f1473,technosphere
market for bilge oil,market for bilge oil,f4859b18b3f1279afa171141d31d8115,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,2adf719097fb70ed6bd21307be2b10ed,technosphere
"market for argon, liquid","market for argon, liquid",d861a2555aacaabefc8616f2bba00480,technosphere
market for bilge oil,market for bilge oil,0c8bd5a75f3ad3e07842825e26eb8b8f,technosphere
market for bilge oil,market for bilge oil,5f4c97b233d070ebc753b19486d7d073,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",0dcc7f71b8be4c8d9509c31f841c4446,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",d6ed69a717756399d16d9fd2097d12a6,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",488d2a8d51a44138b07aa90950d8ccfc,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",edebd9e24d034e45b8e85a44b617c800,technosphere
market for municipal solid waste,market for municipal solid waste,5c7c48942a854335523cdbb08fa0e1b2,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",ea833f35336b4e32a4e8aad4b2c821d2,technosphere
market for heavy fuel oil,market for heavy fuel oil,830d5f1291905468221bf79b3b0b937d,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",8b2d918830770d5cd251822ef2725142,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",244c2a7fb6d563b60cc71d6e439d8f84,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",be179470d99c58b434d921684e7a9300,technosphere
"market for concentrated solar power plant, solar tower, 20 MW","market for concentrated solar power plant, solar tower, 20 MW",0af48c0ac75b5c35a42bd4c5b3f05aac,technosphere
"steel production, chromium steel 18/8, hot rolled","steel production, chromium steel 18/8, hot rolled",809c09c13b0e7129a79aabed4e9e2c08,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",0582998c7d76441e860eac30fb4d8e27,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",9051c72aa2104e92b3e3ddc9ec68916e,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",e80e0a38c418458d88c9296201e5fb59,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",0770b6c5e2364869866004c4f53f7b2b,technosphere
"market for water, completely softened","market for water, completely softened",4e765897ee8143f44ad53dc0b79e2667,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",14c813cf247894b08f42e22069fc1325,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",f96f39cb3856ef921ff6ab70227696c5,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",92845144f0a64ee3b26eb90804994194,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",cd689a85a8464ddfa5f95e16f814d262,technosphere
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",6ec1056d3f1a425e9ac3eaa9461d2f56,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",611459bf6e9f4fe08c307ae1536f0a1b,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,27e4eb05fd97f7361ff4014e87c2bf3e,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",0e3a70cb6914a96719aac59dff1e03b1,technosphere
market for biogas,market for biogas,2f1b9485102234b60e5a2728aa749ce8,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",78a151b107b74aacacdefaa2874c6d95,technosphere
market for municipal solid waste,market for municipal solid waste,3735848df52fa430113ad35a6b4c6f40,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",45bf56764f17484e96498f70978ad011,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",3fe1084b17f0828a46a85fd2006aafba,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",e32f49b51a554b7985ffafcd3542b286,technosphere
"market for cement, Portland","market for cement, Portland",09f1cda3c6c644d9ac14719b8456b463,technosphere
"market for transport, freight train","market for transport, freight train",d5a4242e08006f3b45c12ee3f14b0bc4,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",894934f3e9734cb7876f177e084b5c57,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",48b4c3dff2444b15806c742aa4d15242,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",edc231a747f748e8a458b8c68cfcf40f,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",b609bdc485ae482aacea323d8478579c,technosphere
"treatment of wastewater, average, capacity 1.1E10l/year","treatment of wastewater, average, capacity 1.1E10l/year",c024f12b44633d9fe8c30c83a345cbba,technosphere
Electricity production_Coal_ReEDS,Electricity production_Coal_ReEDS,3e3c749c-5fc9-4e90-ba27-f6969b3bb8c7,technosphere
"treatment of lignite ash, opencast refill","treatment of lignite ash, opencast refill",453c782cbee6590a7b2f151fa9722737,technosphere
"market for water, completely softened","market for water, completely softened",fa911c15b9e5792389c09ac05acde5d6,technosphere
"market for natural gas, high pressure","market for natural gas, high pressure",06872717e49091808579855f5d33b109,technosphere
market for municipal solid waste,market for municipal solid waste,98bc973a471aa1f3214df23cb6000cb1,technosphere
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner",bd02c9a5cb3b5fb0c732347bb0ae2ea1,technosphere
"market for water, decarbonised","market for water, decarbonised",909090fdd6f12b6e52b0d167a5b1d683,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",5b74099fdc904fc8ae76bde0ae908ef5,technosphere
"market for diesel, burned in diesel-electric generating set, 10MW","market for diesel, burned in diesel-electric generating set, 10MW",6ce6614a1b9148c0863f29e3a6133ed7,technosphere
"market for SOx retained, in hard coal flue gas desulfurisation","market for SOx retained, in hard coal flue gas desulfurisation",2c18d494962ca20cf2f97019d0042f3e,technosphere
"market for water, decarbonised","market for water, decarbonised",2040efe62886e6f108756a2b60d663a1,technosphere
"market for ammonia, anhydrous, liquid","market for ammonia, anhydrous, liquid",321db51f8680744e871af17e87d7543e,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",d0b45824cc43633457a55fe3c94f29d5,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",15901feb5f05fbff2828e5296da2e331,technosphere
"market for cement, Portland","market for cement, Portland",3f85fb59e543487c8d3d2138cdcbc6d4,technosphere
"market for aluminium, cast alloy","market for aluminium, cast alloy",7ace0fd5a6e4e227aa3b0c4d8fbdc9ba,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,693591e3913b9ef2f0debedc1f5eb74b,technosphere
"sodium chloride production, powder","sodium chloride production, powder",cc1b17bf300cc7495029148fc40f5f5f,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",3d67bade7e9544618df8bf432355a0de,technosphere
"market for gas power plant, combined cycle, 400MW electrical","market for gas power plant, combined cycle, 400MW electrical",bb25747d73b80f724cbec678708156fc,technosphere
"lime production, milled, loose","lime production, milled, loose",35ed00a6a012bb24f8fdcce505ba6a82,technosphere
"market for transport, freight train","market for transport, freight train",0634bf869ca1628473a2b40cc3381332,technosphere
"nuclear power plant construction, pressure water reactor, 1000MW","nuclear power plant construction, pressure water reactor, 1000MW",9db549d38800958e76c46842d6cc23f8,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",ce120ad8b6c84da980bbca23204f68b8,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",573d0bc7ba7e41a4854996de7f1a34d0,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",ca6cb50a228bd649de848db3e6d0965c,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",d9138c79789644b99af3f4e755660cb4,technosphere
market for light fuel oil,market for light fuel oil,925067ab5363cfee795e659bdadb1084,technosphere
"market for cement, Portland","market for cement, Portland",9051a53c4feb18c4f528a05b1122d9cc,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",db68539a0c704539a8364f3ab1188ae3,technosphere
primary zinc production from concentrate,primary zinc production from concentrate,092eb9083f5e342bd345817a9483bcaa,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",a8b5c5298bf54c48b604c9f8430da229,technosphere
"market for biomass, used as fuel","market for biomass, used as fuel",69b4570991d44b22b80d26cb4a97bd58,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",858d3c431e28407285dc57ad0cd0b4f5,technosphere
market for calcium chloride,market for calcium chloride,92a3bb87d87e228d5fac17943f7678a6,technosphere
Electricity production_Gas_combustion_turbine_ReEDS,Electricity production_Gas_combustion_turbine_ReEDS,15ed93b4-0ce6-4b3c-89e6-f9907b4067cd,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",35d3bec55263411c81e068224e26390a,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",47c8714ad04586ecb146776c7df678b8,technosphere
hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,6763176a73734630a612e3b61c0490c9,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",dfd70348d9f5c2908becd717e78015cc,technosphere
market for hard coal power plant,market for hard coal power plant,1a3d76d1de2b4464b50896165488f9b5,technosphere
"market for cement, Portland","market for cement, Portland",843d3dba2ec74d3f882c0c5b6e9f40bf,technosphere
"steel production, converter, unalloyed","steel production, converter, unalloyed",f40f0104d7ab4ee3b21c7dd5b428dd56,technosphere
"treatment of spent solvent mixture, hazardous waste incineration","treatment of spent solvent mixture, hazardous waste incineration",5b4252e7cd7b80448db2f1adc4423eec,technosphere
"market for water, completely softened","market for water, completely softened",590e1f56233cddf2ef5ac07ed63b608f,technosphere
market for fly ash and scrubber sludge,market for fly ash and scrubber sludge,f88d9ee43ba457c82636b6496b51b616,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",feb88b99f2aa4121952b16349d0d0b82,technosphere
wood combustion power plant 20 MW,wood combustion power plant 20 MW,5c2bfb1c3abe4e9890aa02312b769f09,technosphere
"market for hydrochloric acid, without water, in 30% solution state","market for hydrochloric acid, without water, in 30% solution state",a5534e72e80ffb4337474377f9941d99,technosphere
"market for oxygen, liquid","market for oxygen, liquid",28edec4887a70f7578bfe63eefab9ac8,technosphere
"treatment of municipal solid waste, incineration","treatment of municipal solid waste, incineration",3af42ecf51e9c57ffcb87dc3be30b5c6,technosphere
"treatment of aluminium scrap, new, at refiner","treatment of aluminium scrap, new, at refiner",1e96486a2a63b08da1607a5e7031c1e2,technosphere
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",ec81f1a2f0084a08aeaf1eb71c0496b5,technosphere
"treatment of waste mineral oil, hazardous waste incineration","treatment of waste mineral oil, hazardous waste incineration",b7ed48fd65a4e4c28be59ca5ddff2a2c,technosphere
"treatment of hard coal ash, residual material landfill","treatment of hard coal ash, residual material landfill",a69f2ade5617b53e323c3f70ef9619ec,technosphere
"market for cement, Portland","market for cement, Portland",2bd3983a6678000105aff7d9b863d53e,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",fc9243fa2cf84fa48b4dc065723a4e17,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",2e59f7d8aebe4ab08893fb9cd39fece3,technosphere
